len,ttl,id(new),id(overlap),off(new),off(overlap),sum(new),sum(overlap),ICMP,IGMP,TCP,UDP
607.889881,82.56845238,0.973214286,0.026785714,0.00297619,0.99702381,0.952380952,0.047619048,0,0,1,0
848.8603269,128,1,0,0.002971768,0.997028232,0.869242199,0.130757801,0,0,1,0
803.9114359,128,0.920034394,0.079965606,0.00171969,0.99828031,0.94239037,0.05760963,0,0,1,0
615.5513906,65.17110036,0.978839178,0.021160822,0.000604595,0.999395405,0.949214027,0.050785973,0,0,1,0
631.962877,112.3352668,0.970224285,0.029775715,0.000773395,0.999226605,0.921887084,0.078112916,0.002320186,0,0.902552204,0.09512761
709.2857143,87.50396825,0.326719577,0.673280423,0.001322751,0.998677249,0.326719577,0.673280423,0,0,1,0
788.4478723,81.3287234,0.986702128,0.013297872,0.00106383,0.99893617,0.960638298,0.039361702,0,0,0.87712766,0.12287234
701.0804144,103.0207203,0.979279724,0.020720276,0.00098668,0.99901332,0.962999507,0.037000493,0.003946719,0,0.8899852,0.106068081
854.2746867,78.84678363,0.965580618,0.034419382,0.000334169,0.999665831,0.901086048,0.098913952,0,0,0.983458647,0.016541353
912.0820633,77.83235639,0.991402892,0.008597108,0.000390778,0.999609222,0.977725674,0.022274326,0,0,1,0
744.7354949,74.28896473,0.89726776,0.063387978,0.001092896,0.959562842,0.9,0.060655738,0,0.003278689,0.866120219,0.091256831
768.360199,99.47860697,0.993034826,0.006965174,0.00199005,0.99800995,0.954228856,0.045771144,0.002985075,0,0.989054726,0.007960199
810.659761,76.47609562,0.944223108,0.055776892,0.000796813,0.999203187,0.965338645,0.034661355,0,0,0.996812749,0.003187251
704.2088496,83.91681416,0.962831858,0.037168142,0.003539823,0.996460177,0.566371681,0.433628319,0,0,0.978761062,0.021238938
491.4796353,127.8244174,0.999797366,0.000202634,0.000202634,0.999797366,0.896859169,0.103140831,0,0.000506586,0.96899696,0.030496454
668.6320132,82.25247525,0.98349835,0.01650165,0.001650165,0.998349835,0.96039604,0.03960396,0,0,1,0
746.9536903,81.43560058,0.975397974,0.024602026,0.002894356,0.997105644,0.96382055,0.03617945,0,0,0.982633864,0.017366136
650.9177358,81.02716981,0.926792453,0.073207547,0.001509434,0.998490566,0.569056604,0.430943396,0,0,0.998490566,0.001509434
914.8234558,127.9532554,0.999582812,0,0.000834376,0.998748436,0.948685857,0.050896955,0,0,0.979557781,0.020025031
800.0408879,128,1,0,0.002336449,0.997663551,0.981308411,0.018691589,0,0,1,0
802.8313458,128,1,0,0.003407155,0.996592845,0.647359455,0.352640545,0,0,1,0
785.902027,128,1,0,0.003378378,0.996621622,0.630067568,0.369932432,0,0,1,0
781.0395156,128,0.834130019,0.165869981,0.000318674,0.999681326,0.951561504,0.048438496,0,0,0.990121096,0.009878904
559.0116279,128,1,0,0.023255814,0.976744186,0.965116279,0.034883721,0,0,1,0
683.8251748,128,1,0,0.013986014,0.986013986,0.972027972,0.027972028,0,0,1,0
637.5048309,128,1,0,0.004830918,0.995169082,0.975845411,0.024154589,0,0,1,0
632.6689091,128,1,0,0.00022424,0.99977576,0.922524947,0.077475053,0,0,0.983854692,0.016145308
870.2055838,128,1,0,0.002538071,0.997461929,0.676395939,0.323604061,0,0,1,0
848.7104274,128,1,0,0.00034188,0.99965812,0.948034188,0.051965812,0,0,1,0
839.6071429,128,1,0,0.003246753,0.996753247,0.663961039,0.336038961,0,0,1,0
869.5511111,128,1,0,0.001777778,0.998222222,0.908444444,0.091555556,0,0,1,0
954.4850949,128,1,0,0.005420054,0.994579946,0.989159892,0.010840108,0,0,0.994579946,0.005420054
844.6713287,128,1,0,0.004662005,0.995337995,0.974358974,0.025641026,0,0,0.995337995,0.004662005
817.8811659,128,1,0,0.004484305,0.995515695,0.961883408,0.038116592,0,0,0.99103139,0.00896861
788.2394678,128,1,0,0.00443459,0.99556541,0.980044346,0.019955654,0,0,0.986696231,0.013303769
818.9608939,128,0.921787709,0.078212291,0.003724395,0.996275605,0.940409683,0.059590317,0,0,1,0
847.4175824,128,1,0,0.000845309,0.999154691,0.633136095,0.366863905,0,0,0.972104818,0.027895182
890.0020956,128,1,0,0.000838223,0.999161777,0.953478625,0.046521375,0,0,0.994970662,0.005029338
705.0348993,128,1,0,0.002684564,0.997315436,0.977181208,0.022818792,0,0,0.975838926,0.024161074
735.4646887,128,0.980220616,0.019779384,0.000253582,0.999746418,0.914796501,0.085203499,0,0,0.958285787,0.041714213
807.3164794,128,1,0,0.003745318,0.996254682,0.986891386,0.013108614,0,0,1,0
961.5393939,128,1,0,0.006060606,0.993939394,0.996969697,0.003030303,0,0,1,0
418.7157287,94.59090909,0.533189033,0.466810967,0.000721501,0.999278499,0.891414141,0.108585859,0,0.000721501,0.990620491,0.008658009
855.0446009,128,1,0,0.004694836,0.995305164,0.978873239,0.021126761,0,0,0.985915493,0.014084507
453.2759526,128,1,0,0.000159096,0.999840904,0.865722695,0.134277305,0,0,0.997613555,0.002386445
533.6565334,128,1,0,0.00025546,0.99974454,0.911482948,0.088517052,0,0,0.998978158,0.001021842
800.2735688,128,1,0,0.000487211,0.999512789,0.956881851,0.043118149,0,0,0.89817296,0.10182704
660.3494347,128,1,0,0.002055498,0.997944502,0.954779034,0.045220966,0,0,0.991778006,0.008221994
870.8413002,128,1,0,0.003824092,0.996175908,0.642447419,0.357552581,0,0,0.988527725,0.011472275
666.3352246,128,1,0,0.000945626,0.999054374,0.958392435,0.041607565,0,0,0.964066194,0.035933806
708.1773756,127.6552036,1,0,0.000904977,0.999095023,0.950226244,0.049773756,0,0,0.966515837,0.033484163
824.2628689,87.14893617,0.638297872,0.361702128,0.001372684,0.998627316,0.934111187,0.065888813,0,0,0.986273164,0.013726836
600.7419596,127.6200449,1,0,0.001495886,0.998504114,0.958863126,0.041136874,0,0,0.934181002,0.065818998
831.5750242,127.3852856,1,0,0.001936108,0.998063892,0.980638916,0.019361084,0,0.004840271,0.98160697,0.013552759
865.4359401,128,1,0,0.003327787,0.996672213,0.637271215,0.362728785,0,0,0.990016639,0.009983361
616.4676573,93.70891608,0.993006993,0.006993007,0.001748252,0.998251748,0.991258741,0.008741259,0,0,0.98513986,0.01486014
837.7915493,128,1,0,0.005633803,0.994366197,0.994366197,0.005633803,0,0,0.983098592,0.016901408
752.3567708,128,1,0,0.005208333,0.994791667,0.979166667,0.020833333,0,0,0.989583333,0.010416667
793.3612903,128,1,0,0.006451613,0.993548387,0.983870968,0.016129032,0,0,0.980645161,0.019354839
764.8877005,128,1,0,0.005347594,0.994652406,0.975935829,0.024064171,0,0,0.983957219,0.016042781
699.83625,128,1,0,0.0025,0.9975,0.94625,0.05375,0,0,1,0
882.8364456,128,1,0,0.00128783,0.99871217,0.97810689,0.02189311,0,0,0.98583387,0.01416613
942.967433,128,1,0,0.003831418,0.996168582,0.994252874,0.005747126,0,0,1,0
706.8220641,128,1,0,0.007117438,0.992882562,0.982206406,0.017793594,0,0,0.943060498,0.056939502
890.8950914,128,0.936798203,0.063201797,0.000641643,0.999358357,0.669233237,0.330766763,0,0,0.995508502,0.004491498
446.1986908,127.9137466,0.903350019,0.096649981,0.000770119,0.999229881,0.934924913,0.065075087,0.000770119,0,0.969965345,0.029264536
408.2331198,95.60078857,0.552488911,0.447511089,0.000985707,0.999014293,0.915229177,0.084770823,0,0.000985707,0.991128635,0.007885658
727.4911591,113.5422397,0.89010989,0.042124542,0.003663004,0.928571429,0.893772894,0.038461538,0,0.014652015,0.842490842,0.075091575
785.8249516,128,0.969052224,0.030947776,0.001934236,0.998065764,0.955512573,0.044487427,0,0,1,0
611.3593407,128,1,0,0.002197802,0.997802198,0.58021978,0.41978022,0,0,0.642857143,0.357142857
727.4911591,113.5422397,0.89010989,0.042124542,0.003663004,0.928571429,0.893772894,0.038461538,0,0.014652015,0.842490842,0.075091575
785.8249516,128,0.969052224,0.030947776,0.001934236,0.998065764,0.955512573,0.044487427,0,0,1,0
672.2070796,92.33628319,0.952212389,0.047787611,0.001769912,0.998230088,0.950442478,0.049557522,0,0,0.9,0.1
815.1974055,128,1,0,0.001128032,0.998871968,0.981387479,0.018612521,0,0,1,0
727.2751138,128,1,0,0.000700035,0.999299965,0.958347917,0.041652083,0,0,0.960098005,0.039901995
935.8232721,128,1,0,0.001749781,0.998250219,0.969378828,0.030621172,0,0,0.984251969,0.015748031
599.9536703,128,1,0,0.001203369,0.998796631,0.945848375,0.054151625,0,0,0.954271961,0.045728039
362.52127,128,1,0,0.000616523,0.999383477,0.847410604,0.152589396,0,0,1,0
759.6198347,128,1,0,0.002754821,0.997245179,0.630853994,0.369146006,0,0,0.889807163,0.110192837
928.0289575,128,1,0,0.001930502,0.998069498,0.99034749,0.00965251,0,0,0.992277992,0.007722008
692.9107551,128,1,0,0.004576659,0.995423341,0.988558352,0.011441648,0,0,1,0
996.3550661,128,1,0,0.001762115,0.998237885,0.635242291,0.364757709,0,0,1,0
1024.714201,128,1,0,0.001183432,0.998816568,0.656804734,0.343195266,0,0,1,0
757.668942,80.26450512,0.938566553,0.061433447,0.001706485,0.998293515,0.982935154,0.017064846,0,0,1,0
736.0191587,128,1,0,0.000832986,0.999167014,0.950020825,0.049979175,0,0,0.826738859,0.173261141
682.9891712,128,1,0,0.000832986,0.999167014,0.929196168,0.070803832,0,0,0.760099958,0.239900042
734.5428809,128,1,0,0.000832639,0.999167361,0.973771857,0.026228143,0,0,0.758534555,0.241465445
821.8181818,128,1,0,0.002840909,0.997159091,0.984375,0.015625,0,0,1,0
490.3609215,128,1,0,0.001706485,0.998293515,0.924914676,0.075085324,0,0,0.988054608,0.011945392
445.7137079,128,1,0,0.000898876,0.999101124,0.963146067,0.036853933,0,0,0.983820225,0.016179775
