name,len,ttl(32),ttl(64),ttl(128),ttl(255),id(new),id(overlap),off(single),off(frag),sum(new),sum(overlap),ICMP,IGMP,TCP,UDP
Neutrino-EK-traffic,607.889881,0,0.580357143,0.419642857,0,0.973214286,0.026785714,1,0,0.952380952,0.047619048,0,0,1,0
DotkaChef-EK-traffic,848.8603269,0,0,1,0,1,0,0.276374443,0.723625557,0.869242199,0.130757801,0,0,1,0
DotkaChef-EK-traffic,803.9114359,0,0,1,0,0.920034394,0.079965606,0.295786758,0.704213242,0.94239037,0.05760963,0,0,1,0
Blackhole-EK-traffic,615.5513906,0,0.942563482,0.057436518,0,0.978839178,0.021160822,1,0,0.949214027,0.050785973,0,0,1,0
phishing-malware-traffic,631.962877,0,0.118329466,0.868136118,0.013534416,0.970224285,0.029775715,0.921887084,0.078112916,0.921887084,0.078112916,0.002320186,0,0.902552204,0.09512761
Cool-EK-traffic,709.2857143,0,0.623015873,0.376984127,0,0.326719577,0.673280423,1,0,0.326719577,0.673280423,0,0,1,0
Styx-EK-traffic,788.4478723,0.000531915,0.546808511,0.448404255,0.004255319,0.986702128,0.013297872,0.911170213,0.088829787,0.960638298,0.039361702,0,0,0.87712766,0.12287234
Blackhole-EK-traffic,701.0804144,0,0.206709423,0.787863838,0.005426739,0.979279724,0.020720276,0.908732116,0.091267884,0.962999507,0.037000493,0.003946719,0,0.8899852,0.106068081
Styx-EK-traffic,854.2746867,0.000334169,0.599164578,0.392648287,0.007852966,0.965580618,0.034419382,0.956390977,0.043609023,0.901086048,0.098913952,0,0,0.983458647,0.016541353
g01pack-EK-traffic,912.0820633,0,0.597499023,0.402500977,0,0.991402892,0.008597108,1,0,0.977725674,0.022274326,0,0,1,0
Sweet-Orange-EK-traffic,715.4344262,0.050273224,0.544808743,0.363387978,0.002185792,0.89726776,0.063387978,0.915300546,0.045355191,0.9,0.060655738,0,0.003278689,0.866120219,0.091256831
Blackhole-EK-traffic,768.360199,0,0.284577114,0.711442786,0.0039801,0.993034826,0.006965174,0.993034826,0.006965174,0.954228856,0.045771144,0.002985075,0,0.989054726,0.007960199
Sibhost-EK-traffic,810.659761,0,0.616733068,0.381673307,0.001593625,0.944223108,0.055776892,0.998406375,0.001593625,0.965338645,0.034661355,0,0,0.996812749,0.003187251
Gondad-EK-traffic,704.2088496,0,0.499115044,0.490265487,0.010619469,0.962831858,0.037168142,0.982300885,0.017699115,0.566371681,0.433628319,0,0,0.978761062,0.021238938
Styx-EK-traffic,491.4796353,0.00141844,0,0.99858156,0,0.999797366,0.000202634,0.299797366,0.700202634,0.896859169,0.103140831,0,0.000506586,0.96899696,0.030496454
Whitehole-EK-traffic,668.6320132,0,0.572607261,0.427392739,0,0.98349835,0.01650165,1,0,0.96039604,0.03960396,0,0,1,0
Neutrino-EK-traffic,746.9536903,0,0.586107091,0.405209841,0.008683068,0.975397974,0.024602026,0.953690304,0.046309696,0.96382055,0.03617945,0,0,0.982633864,0.017366136
Neutrino-EK-traffic,650.9177358,0,0.593207547,0.406792453,0,0.926792453,0.073207547,0.978113208,0.021886792,0.569056604,0.430943396,0,0,0.998490566,0.001509434
Styx-EK-traffic,914.4418023,0.000417188,0,0.999165624,0,0.999582812,0,0.325823947,0.673758865,0.948685857,0.050896955,0,0,0.979557781,0.020025031
Fiesta-EK-traffic,800.0408879,0,0,1,0,1,0,0.375,0.625,0.981308411,0.018691589,0,0,1,0
FlashPack-EK-traffic,802.8313458,0,0,1,0,1,0,0.33560477,0.66439523,0.647359455,0.352640545,0,0,1,0
FlashPack-EK-traffic,785.902027,0,0,1,0,1,0,0.342905405,0.657094595,0.630067568,0.369932432,0,0,1,0
Magnitude-EK-traffic,781.0395156,0,0,1,0,0.834130019,0.165869981,0.352613129,0.647386871,0.951561504,0.048438496,0,0,0.990121096,0.009878904
Goon-EK-exploit-example-hour-after,559.0116279,0,0,1,0,1,0,0.418604651,0.581395349,0.965116279,0.034883721,0,0,1,0
Goon-EK-exploit-example-hour-before,683.8251748,0,0,1,0,1,0,0.405594406,0.594405594,0.972027972,0.027972028,0,0,1,0
Goon-EK-exploit-examples,637.5048309,0,0,1,0,1,0,0.410628019,0.589371981,0.975845411,0.024154589,0,0,1,0
Magnitude-EK-traffic,632.6689091,0,0,1,0,1,0,0.262024891,0.737975109,0.922524947,0.077475053,0,0,0.983854692,0.016145308
Fiesta-EK-traffic,870.2055838,0,0,1,0,1,0,0.308375635,0.691624365,0.676395939,0.323604061,0,0,1,0
Magnitude-EK-traffic,848.7104274,0,0,1,0,1,0,0.316581197,0.683418803,0.948034188,0.051965812,0,0,1,0
Fiesta-EK-traffic,839.6071429,0,0,1,0,1,0,0.326298701,0.673701299,0.663961039,0.336038961,0,0,1,0
Sweet-Orange-EK-traffic,869.5511111,0,0,1,0,1,0,0.344888889,0.655111111,0.908444444,0.091555556,0,0,1,0
Angler-EK-traffic-01,954.4850949,0,0,1,0,1,0,0.344173442,0.655826558,0.989159892,0.010840108,0,0,0.994579946,0.005420054
Angler-EK-traffic-02,844.6713287,0,0,1,0,1,0,0.337995338,0.662004662,0.974358974,0.025641026,0,0,0.995337995,0.004662005
Angler-EK-traffic-03,817.8811659,0,0,1,0,1,0,0.33632287,0.66367713,0.961883408,0.038116592,0,0,0.99103139,0.00896861
Angler-EK-traffic-04,788.2394678,0,0,1,0,1,0,0.350332594,0.649667406,0.980044346,0.019955654,0,0,0.986696231,0.013303769
Goon-EK-traffic,818.9608939,0,0,1,0,0.921787709,0.078212291,0.357541899,0.642458101,0.940409683,0.059590317,0,0,1,0
fake-flash-updater,847.4175824,0,0,1,0,1,0,0.302197802,0.697802198,0.633136095,0.366863905,0,0,0.972104818,0.027895182
Magnitude-EK-traffic,890.0020956,0,0,1,0,1,0,0.354568315,0.645431685,0.953478625,0.046521375,0,0,0.994970662,0.005029338
Nuclear-EK-traffic,705.0348993,0,0,1,0,1,0,0.365100671,0.634899329,0.977181208,0.022818792,0,0,0.975838926,0.024161074
Magnitude-EK-traffic,735.4646887,0,0,1,0,0.980220616,0.019779384,0.211994421,0.788005579,0.914796501,0.085203499,0,0,0.958285787,0.041714213
Angler-EK-traffic,807.3164794,0,0,1,0,1,0,0.335205993,0.664794007,0.986891386,0.013108614,0,0,1,0
Angler-EK-traffic,961.5393939,0,0,1,0,1,0,0.327272727,0.672727273,0.996969697,0.003030303,0,0,1,0
fake-Flash-player-sandbox-analysis,418.7157287,0.002164502,0.523448773,0.471500722,0.002886003,0.533189033,0.466810967,0.465367965,0.534632035,0.891414141,0.108585859,0,0.000721501,0.990620491,0.008658009
fake-Flash-updater-traffic,855.0446009,0,0,1,0,1,0,0.307511737,0.692488263,0.978873239,0.021126761,0,0,0.985915493,0.014084507
Angler-EK-traffic-01,453.2759526,0,0,1,0,1,0,0.431787447,0.568212553,0.865722695,0.134277305,0,0,0.997613555,0.002386445
Angler-EK-traffic-02,533.6565334,0,0,1,0,1,0,0.372333631,0.627666369,0.911482948,0.088517052,0,0,0.998978158,0.001021842
Sweet-Orange-EK-traffic,800.2735688,0,0,1,0,1,0,0.289403167,0.710596833,0.956881851,0.043118149,0,0,0.89817296,0.10182704
FlashPack-EK-traffic,660.3494347,0,0,1,0,1,0,0.378211716,0.621788284,0.954779034,0.045220966,0,0,0.991778006,0.008221994
Angler-EK-traffic,870.8413002,0,0,1,0,1,0,0.321223709,0.678776291,0.642447419,0.357552581,0,0,0.988527725,0.011472275
Nuclear-EK-traffic,666.3352246,0,0,1,0,1,0,0.383451537,0.616548463,0.958392435,0.041607565,0,0,0.964066194,0.035933806
Rig-EK-traffic,708.1773756,0.002714932,0,0.997285068,0,1,0,0.361538462,0.638461538,0.950226244,0.049773756,0,0,0.966515837,0.033484163
sandbox-analysis-of-Angler-EK-malware-payload,824.2628689,0,0.638297872,0.361702128,0,0.638297872,0.361702128,0.35483871,0.64516129,0.934111187,0.065888813,0,0,0.986273164,0.013726836
Nuclear-EK-traffic,600.7419596,0.002991773,0,0.997008227,0,1,0,0.386686612,0.613313388,0.958863126,0.041136874,0,0,0.934181002,0.065818998
Fiesta-EK-traffic,831.5750242,0.004840271,0,0.995159729,0,1,0,0.352371733,0.647628267,0.980638916,0.019361084,0,0.004840271,0.98160697,0.013552759
Rig-EK-traffic,865.4359401,0,0,1,0,1,0,0.322795341,0.677204659,0.637271215,0.362728785,0,0,0.990016639,0.009983361
fake-Flash-updater-analysis-from-malwr,616.4676573,0,0.426573427,0.573426573,0,0.993006993,0.006993007,0.971153846,0.028846154,0.991258741,0.008741259,0,0,0.98513986,0.01486014
fake-Flash-updater-example-01,837.7915493,0,0,1,0,1,0,0.304225352,0.695774648,0.994366197,0.005633803,0,0,0.983098592,0.016901408
fake-Flash-updater-example-02,752.3567708,0,0,1,0,1,0,0.315104167,0.684895833,0.979166667,0.020833333,0,0,0.989583333,0.010416667
fake-Flash-updater-example-03,793.3612903,0,0,1,0,1,0,0.316129032,0.683870968,0.983870968,0.016129032,0,0,0.980645161,0.019354839
fake-Flash-updater-example-04,764.8877005,0,0,1,0,1,0,0.334224599,0.665775401,0.975935829,0.024064171,0,0,0.983957219,0.016042781
FlashPack-EK-traffic,699.83625,0,0,1,0,1,0,0.33875,0.66125,0.94625,0.05375,0,0,1,0
Fiesta-EK-traffic,882.8364456,0,0,1,0,1,0,0.334191887,0.665808113,0.97810689,0.02189311,0,0,0.98583387,0.01416613
Angler-EK-traffic,942.967433,0,0,1,0,1,0,0.337164751,0.662835249,0.994252874,0.005747126,0,0,1,0
Nuclear-EK-traffic,706.8220641,0,0,1,0,1,0,0.355871886,0.644128114,0.982206406,0.017793594,0,0,0.943060498,0.056939502
fake-Flash-updater-traffic,890.8950914,0,0,1,0,0.936798203,0.063201797,0.304459416,0.695540584,0.669233237,0.330766763,0,0,0.995508502,0.004491498
Rig-EK-traffic,446.1986908,0.000770119,0,0.999229881,0,0.903350019,0.096649981,0.239507124,0.760492876,0.934924913,0.065075087,0.000770119,0,0.969965345,0.029264536
sandbox-traffic-on-fake-Flash-player,408.2331198,0.000985707,0.516017743,0.477082307,0.005914243,0.552488911,0.447511089,0.468703795,0.531296205,0.915229177,0.084770823,0,0.000985707,0.991128635,0.007885658
Rig-EK-malware-payload-sandbox-analysis,678.1923077,0.025641026,0.010989011,0.895604396,0,0.89010989,0.042124542,0.842490842,0.08974359,0.893772894,0.038461538,0,0.014652015,0.842490842,0.075091575
Rig-EK-traffic,785.8249516,0,0,1,0,0.969052224,0.030947776,0.327852998,0.672147002,0.955512573,0.044487427,0,0,1,0
Nuclear-EK-traffic,611.3593407,0,0,1,0,1,0,0.19010989,0.80989011,0.58021978,0.41978022,0,0,0.642857143,0.357142857
Rig-EK-malware-payload-sandbox-analysis,678.1923077,0.025641026,0.010989011,0.895604396,0,0.89010989,0.042124542,0.842490842,0.08974359,0.893772894,0.038461538,0,0.014652015,0.842490842,0.075091575
Rig-EK-traffic,785.8249516,0,0,1,0,0.969052224,0.030947776,0.327852998,0.672147002,0.955512573,0.044487427,0,0,1,0
fake-Flash-updater-sandbox-analysis,672.2070796,0,0.456637168,0.543362832,0,0.952212389,0.047787611,0.886725664,0.113274336,0.950442478,0.049557522,0,0,0.9,0.1
fake-Flash-updater-traffic,815.1974055,0,0,1,0,1,0,0.328821207,0.671178793,0.981387479,0.018612521,0,0,1,0
Fiesta-EK-traffic,727.2751138,0,0,1,0,1,0,0.344417221,0.655582779,0.958347917,0.041652083,0,0,0.960098005,0.039901995
fake-Flash-updater-traffic,935.8232721,0,0,1,0,1,0,0.261592301,0.738407699,0.969378828,0.030621172,0,0,0.984251969,0.015748031
fake-Flash-updater-VM-infection,599.9536703,0,0,1,0,1,0,0.388688327,0.611311673,0.945848375,0.054151625,0,0,0.954271961,0.045728039
FlashPack-EK-traffic,362.52127,0,0,1,0,1,0,0.412145499,0.587854501,0.847410604,0.152589396,0,0,1,0
Rig-EK-traffic,759.6198347,0,0,1,0,1,0,0.304407713,0.695592287,0.630853994,0.369146006,0,0,0.889807163,0.110192837
Fiesta-EK-traffic,928.0289575,0,0,1,0,1,0,0.335907336,0.664092664,0.99034749,0.00965251,0,0,0.992277992,0.007722008
Sweet-Orange-EK-traffic,692.9107551,0,0,1,0,1,0,0.384439359,0.615560641,0.988558352,0.011441648,0,0,1,0
Fiesta-EK-traffic-01,996.3550661,0,0,1,0,1,0,0.262555066,0.737444934,0.635242291,0.364757709,0,0,1,0
Fiesta-EK-traffic-02,1024.714201,0,0,1,0,1,0,0.24852071,0.75147929,0.656804734,0.343195266,0,0,1,0
Fiesta-EK-traffic-03,757.668942,0,0.627986348,0.372013652,0,0.938566553,0.061433447,1,0,0.982935154,0.017064846,0,0,1,0
Angler-EK-uses-flash-exploit,736.0191587,0,0,1,0,1,0,0.25697626,0.74302374,0.950020825,0.049979175,0,0,0.826738859,0.173261141
Angler-EK-uses-java-exploit,682.9891712,0,0,1,0,1,0,0.237817576,0.762182424,0.929196168,0.070803832,0,0,0.760099958,0.239900042
Angler-EK-uses-silverlight-exploit,734.5428809,0,0,1,0,1,0,0.261865112,0.738134888,0.973771857,0.026228143,0,0,0.758534555,0.241465445
Blackhole-EK-traffic,821.8181818,0,0,1,0,1,0,0.335227273,0.664772727,0.984375,0.015625,0,0,1,0
FlashPack-EK-traffic,490.3609215,0,0,1,0,1,0,0.226962457,0.773037543,0.924914676,0.075085324,0,0,0.988054608,0.011945392
Angler-EK-traffic,445.7137079,0,0,1,0,1,0,0.349213483,0.650786517,0.963146067,0.036853933,0,0,0.983820225,0.016179775
Nuclear-EK-traffic,698.8532246,0,0,1,0,1,0,0.335804299,0.664195701,0.964418087,0.035581913,0,0,0.95404003,0.04595997
Fiesta-EK-malware-payload-run-on-physical-host,745.8988834,0.025434243,0.604218362,0.370347395,0,0.789081886,0.210918114,0.415012407,0.584987593,0.859181141,0.140818859,0.007444169,0.019230769,0.907568238,0.065756824
Fiesta-EK-traffic,901.3365854,0,0,1,0,1,0,0.35804878,0.64195122,0.989268293,0.010731707,0,0,1,0
Angler-EK-malware-payload-sandbox-analysis,654.2895623,0,0.507295174,0.492704826,0,0.970819304,0.029180696,0.946127946,0.053872054,0.965207632,0.034792368,0,0,0.946127946,0.053872054
Angler-EK-uses-flash-exploit,862.2798834,0,0,1,0,1,0,0.346938776,0.653061224,0.994169096,0.005830904,0,0,1,0
Angler-EK-uses-java-exploit,849.7781955,0,0,1,0,1,0,0.327067669,0.672932331,0.956766917,0.043233083,0,0,1,0
Angler-EK-uses-silverlight-exploit,803.5,0,0,1,0,1,0,0.340073529,0.659926471,0.996323529,0.003676471,0,0,1,0
cryptowall-infection-on-VM,345.5637066,0,0,1,0,1,0,0.409266409,0.590733591,0.965250965,0.034749035,0,0,0.961389961,0.038610039
FlashPack-EK-traffic,858.964539,0,0,1,0,0.84751773,0.15248227,0.35106383,0.64893617,0.972813239,0.027186761,0,0,0.989361702,0.010638298
Rig-EK-traffic-using-IE10,648.7727273,0,0,1,0,1,0,0.431818182,0.568181818,1,0,0,0,1,0
Rig-EK-traffic,515.9629964,0.000451264,0,0.999548736,0,1,0,0.204422383,0.795577617,0.88267148,0.11732852,0,0.000451264,0.993231047,0.00631769
exe.exe-sandbox-analysis,597.3242321,0.04778157,0.020477816,0.880546075,0,0.880546075,0.068259386,0.774744027,0.174061433,0.870307167,0.078498294,0,0.027303754,0.774744027,0.146757679
Infinity-EK-traffic,678.3380062,0,0,1,0,1,0,0.292834891,0.707165109,0.99376947,0.00623053,0,0,0.873831776,0.126168224
malware-payload-sandbox-analysis,591.9934211,0,0.013157895,0.967105263,0,0.973684211,0.006578947,0.934210526,0.046052632,0.960526316,0.019736842,0,0,0.934210526,0.046052632
Angler-EK-malware-payload-sandbox-traffic,86.29166667,0,0.333333333,0.541666667,0,0.833333333,0.041666667,0.583333333,0.291666667,0.833333333,0.041666667,0,0,0.583333333,0.291666667
Angler-EK-traffic,843.2527473,0,0,1,0,1,0,0.320512821,0.679487179,0.990842491,0.009157509,0,0,0.989010989,0.010989011
Nuclear-EK,751.3078203,0,0,1,0,1,0,0.356073211,0.643926789,0.990016639,0.009983361,0,0,0.983361065,0.016638935
Angler-EK-malware-payload-sandbox-traffic,91.76,0,0.36,0.52,0,0.84,0.04,0.64,0.24,0.8,0.08,0,0,0.64,0.24
Angler-EK-traffic,929.3046595,0,0,1,0,1,0,0.331541219,0.668458781,0.998207885,0.001792115,0,0,0.971326165,0.028673835
Infinity-EK-traffic,423.3148948,0.000139334,0,0.999860666,0,1,0,0.157726069,0.842273931,0.882402118,0.117597882,0.000139334,0,0.993033301,0.006827365
Fiesta-EK-traffic,889.6618465,0,0,1,0,1,0,0.323692992,0.676307008,0.631813126,0.368186874,0,0,1,0
FlashPack-EK-traffic,448.8871405,0.002170374,0,0.997829626,0,1,0,0.450895279,0.549104721,0.943027672,0.056972328,0,0,0.97287032,0.02712968
Fiesta-EK-traffic,928.4608567,0,0,1,0,0.750369276,0.249630724,0.304283604,0.695716396,0.666174298,0.333825702,0,0,1,0
Infinity-EK-traffic,613.9546392,0,0,1,0,1,0,0.370103093,0.629896907,0.982474227,0.017525773,0,0,0.941237113,0.058762887
Nuclear-EK-traffic,663.2723493,0,0,1,0,1,0,0.35966736,0.64033264,0.911988912,0.088011088,0,0,0.958419958,0.041580042
FlashPack-EK-traffic,481.1359094,0,0,1,0,1,0,0.442371752,0.557628248,0.502331779,0.497668221,0,0,0.988007995,0.011992005
Fiesta-EK-malware-payload-sandbox-traffic,281.6508876,0,0.295857988,0.704142012,0,1,0,0.905325444,0.094674556,0.99408284,0.00591716,0,0,0.98816568,0.01183432
Fiesta-EK-traffic,960.7102439,0,0,1,0,1,0,0.330731707,0.669268293,0.990243902,0.009756098,0,0,0.995121951,0.004878049
Sweet-Orange-EK-traffic,490.8235294,0,0,1,0,1,0,0.420168067,0.579831933,1,0,0,0,1,0
Fake-flash-updater-traffic,915.6755556,0,0,0.997777778,0.002222222,1,0,0.273333333,0.726666667,0.706666667,0.293333333,0,0,0.98,0.02
Fiesta-EK-traffic,1073.982839,0,0,1,0,1,0,0.224648986,0.775351014,0.673556942,0.326443058,0,0,1,0
